year_month,interest
2022-01,7.8
2022-02,0.0
2022-03,0.0
2022-04,0.0
2022-05,8.0
2022-06,0.0
2022-07,16.4
2022-08,0.0
2022-09,6.2
2022-10,5.0
2022-11,21.2
2022-12,31.5
2023-01,5.6
2023-02,12.5
2023-03,0.0
2023-04,0.0
2023-05,0.0
2023-06,10.8
2023-07,0.0
2023-08,0.0
2023-09,0.0
2023-10,0.0
2023-11,16.8
2023-12,17.2
2024-01,0.0
2024-02,0.0
2024-03,0.0
2024-04,0.0
2024-05,0.0
2024-06,6.2
2024-07,10.5
2024-08,0.0
2024-09,0.0
2024-10,8.0
2024-11,51.8
2024-12,37.4
2025-01,32.8
2025-02,17.2
2025-03,0.0
2025-04,8.0
2025-05,0.0
2025-06,0.0
2025-07,0.0
2025-08,18.4
2025-09,15.2
2025-10,0.0
2025-11,13.6
2025-12,31.2
