year_month,interest
2022-01,12.6
2022-02,14.5
2022-03,0.0
2022-04,10.5
2022-05,11.0
2022-06,12.2
2022-07,0.0
2022-08,13.2
2022-09,0.0
2022-10,30.4
2022-11,54.2
2022-12,53.2
2023-01,20.0
2023-02,0.0
2023-03,33.0
2023-04,11.8
2023-05,0.0
2023-06,0.0
2023-07,0.0
2023-08,0.0
2023-09,0.0
2023-10,0.0
2023-11,26.8
2023-12,21.2
2024-01,0.0
2024-02,0.0
2024-03,0.0
2024-04,0.0
2024-05,0.0
2024-06,0.0
2024-07,0.0
2024-08,0.0
2024-09,0.0
2024-10,0.0
2024-11,0.0
2024-12,14.6
2025-01,0.0
2025-02,0.0
2025-03,0.0
2025-04,0.0
2025-05,0.0
2025-06,11.0
2025-07,0.0
2025-08,0.0
2025-09,17.8
2025-10,29.0
2025-11,13.8
2025-12,0.0
