year_month,interest
2022-01,5.4
2022-02,4.0
2022-03,47.0
2022-04,34.0
2022-05,17.2
2022-06,13.8
2022-07,16.0
2022-08,13.0
2022-09,11.2
2022-10,14.6
2022-11,18.0
2022-12,20.8
2023-01,12.8
2023-02,8.5
2023-03,8.2
2023-04,7.0
2023-05,7.5
2023-06,7.0
2023-07,8.2
2023-08,8.8
2023-09,7.8
2023-10,8.2
2023-11,14.2
2023-12,16.4
2024-01,9.8
2024-02,9.2
2024-03,8.2
2024-04,7.5
2024-05,7.8
2024-06,9.0
2024-07,10.0
2024-08,10.0
2024-09,9.2
2024-10,10.2
2024-11,14.0
2024-12,20.6
2025-01,11.5
2025-02,9.0
2025-03,8.0
2025-04,7.2
2025-05,8.2
2025-06,8.6
2025-07,9.0
2025-08,11.0
2025-09,8.8
2025-10,31.0
2025-11,32.6
2025-12,54.5
