year_month,interest
2022-01,1.6
2022-02,1.8
2022-03,1.0
2022-04,1.2
2022-05,1.2
2022-06,1.5
2022-07,1.4
2022-08,1.5
2022-09,2.0
2022-10,3.0
2022-11,61.8
2022-12,35.8
2023-01,18.6
2023-02,9.8
2023-03,8.8
2023-04,7.4
2023-05,6.0
2023-06,7.0
2023-07,8.6
2023-08,7.2
2023-09,6.0
2023-10,6.0
2023-11,9.2
2023-12,15.6
2024-01,10.2
2024-02,9.5
2024-03,7.0
2024-04,6.2
2024-05,6.0
2024-06,6.4
2024-07,7.0
2024-08,8.5
2024-09,6.2
2024-10,6.0
2024-11,8.2
2024-12,13.6
2025-01,8.2
2025-02,6.8
2025-03,6.4
2025-04,5.8
2025-05,5.5
2025-06,6.6
2025-07,7.0
2025-08,8.2
2025-09,6.8
2025-10,7.8
2025-11,10.8
2025-12,17.0
