year_month,interest
2022-01,0.0
2022-02,1.5
2022-03,0.5
2022-04,1.0
2022-05,42.2
2022-06,36.8
2022-07,25.8
2022-08,26.2
2022-09,22.2
2022-10,22.2
2022-11,32.0
2022-12,39.2
2023-01,24.2
2023-02,15.0
2023-03,12.0
2023-04,13.8
2023-05,11.8
2023-06,10.8
2023-07,13.2
2023-08,12.5
2023-09,12.0
2023-10,14.8
2023-11,24.2
2023-12,36.0
2024-01,19.2
2024-02,16.0
2024-03,15.6
2024-04,11.8
2024-05,11.0
2024-06,11.2
2024-07,15.2
2024-08,14.2
2024-09,11.0
2024-10,14.8
2024-11,20.2
2024-12,28.4
2025-01,17.2
2025-02,12.5
2025-03,12.6
2025-04,10.0
2025-05,9.8
2025-06,9.2
2025-07,10.8
2025-08,12.8
2025-09,10.8
2025-10,11.5
2025-11,17.6
2025-12,24.8
