year_month,interest
2022-01,21.4
2022-02,7.2
2022-03,0.0
2022-04,0.0
2022-05,0.0
2022-06,0.0
2022-07,5.0
2022-08,6.0
2022-09,0.0
2022-10,4.8
2022-11,30.5
2022-12,28.0
2023-01,0.0
2023-02,0.0
2023-03,0.0
2023-04,0.0
2023-05,0.0
2023-06,0.0
2023-07,0.0
2023-08,0.0
2023-09,0.0
2023-10,0.0
2023-11,16.0
2023-12,23.4
2024-01,0.0
2024-02,0.0
2024-03,0.0
2024-04,0.0
2024-05,0.0
2024-06,0.0
2024-07,0.0
2024-08,0.0
2024-09,0.0
2024-10,0.0
2024-11,34.5
2024-12,25.2
2025-01,0.0
2025-02,0.0
2025-03,0.0
2025-04,0.0
2025-05,0.0
2025-06,0.0
2025-07,0.0
2025-08,0.0
2025-09,22.5
2025-10,40.8
2025-11,69.0
2025-12,72.2
