year_month,interest
2022-01,0.0
2022-02,0.0
2022-03,0.0
2022-04,0.0
2022-05,0.0
2022-06,0.0
2022-07,0.0
2022-08,0.0
2022-09,0.0
2022-10,0.0
2022-11,17.5
2022-12,40.2
2023-01,0.0
2023-02,0.0
2023-03,0.0
2023-04,13.0
2023-05,13.0
2023-06,12.2
2023-07,0.0
2023-08,15.2
2023-09,0.0
2023-10,14.4
2023-11,36.5
2023-12,46.6
2024-01,45.8
2024-02,33.5
2024-03,0.0
2024-04,42.8
2024-05,0.0
2024-06,12.2
2024-07,0.0
2024-08,0.0
2024-09,0.0
2024-10,0.0
2024-11,15.8
2024-12,0.0
2025-01,0.0
2025-02,0.0
2025-03,0.0
2025-04,0.0
2025-05,0.0
2025-06,15.6
2025-07,0.0
2025-08,13.2
2025-09,0.0
2025-10,32.8
2025-11,0.0
2025-12,18.2
