year_month,mean_price,tx_count
2022-01,821.68,1
2022-02,805.46,1
2022-03,724.37,1
2022-04,766.27,1
2022-05,783.84,1
2022-06,747.35,1
2022-07,760.86,1
2022-08,750.05,1
2022-09,740.59,1
2022-10,755.46,1
2022-11,744.64,1
2022-12,751.40,1
2023-01,824.38,1
2023-02,717.62,1
2023-03,810.87,1
2023-04,758.16,1
2023-05,729.78,1
2023-06,790.59,1
2023-07,724.37,1
2023-08,659.50,1
2023-09,771.67,1
2023-10,737.89,1
2023-11,645.99,1
2023-12,597.34,1
2024-01,762.21,1
2024-02,664.91,1
2024-03,733.83,1
2024-04,698.70,1
2024-05,775.73,1
2024-06,820.33,1
2024-07,713.56,1
2024-08,782.48,1
2024-09,655.45,1
2024-10,744.64,1
2024-11,855.46,1
2024-12,829.79,1
2025-01,828.43,1
2025-02,983.85,1
2025-03,833.84,1
2025-04,852.76,1
2025-05,964.93,1
2025-06,839.25,1
2025-07,868.98,1
2025-08,950.06,1
2025-09,790.59,1
2025-10,1009.53,1
2025-11,1039.26,1
2025-12,1016.28,1
