year_month,mean_price,tx_count
2022-01,555.46,1
2022-02,527.15,1
2022-03,506.93,1
2022-04,488.05,1
2022-05,500.19,1
2022-06,510.97,1
2022-07,438.17,1
2022-08,455.69,1
2022-09,523.11,1
2022-10,504.23,1
2022-11,485.36,1
2022-12,466.48,1
2023-01,559.51,1
2023-02,559.51,1
2023-03,536.59,1
2023-04,531.19,1
2023-05,571.64,1
2023-06,612.09,1
2023-07,570.29,1
2023-08,529.85,1
2023-09,563.55,1
2023-10,616.13,1
2023-11,494.79,1
2023-12,590.52,1
2024-01,660.62,1
2024-02,618.83,1
2024-03,593.21,1
2024-04,737.47,1
2024-05,667.36,1
2024-06,857.46,1
2024-07,734.77,1
2024-08,862.85,1
2024-09,848.02,1
2024-10,812.97,1
2024-11,780.61,1
2024-12,891.17,1
2025-01,726.68,1
2025-02,891.17,1
2025-03,781.96,1
2025-04,907.34,1
2025-05,1162.16,1
2025-06,812.97,1
2025-07,1038.12,1
2025-08,854.76,1
2025-09,1073.17,1
2025-10,1012.50,1
2025-11,1017.90,1
2025-12,1063.74,1
