year_month,mean_price,tx_count
2022-01,135.84,16
2022-02,149.43,6
2022-03,164.37,2
2022-04,130.41,15
2022-05,130.41,5
2022-06,146.71,13
2022-07,145.35,3
2022-08,142.63,28
2022-09,158.94,11
2022-10,158.94,6
2022-11,158.94,4
2022-12,157.58,37
2023-01,179.31,52
2023-02,187.46,18
2023-03,187.46,21
2023-04,198.33,16
2023-05,191.54,15
2023-06,187.46,18
2023-07,192.9,8
2023-08,175.24,31
2023-09,207.84,9
2023-10,190.18,39
2023-11,187.46,44
2023-12,202.4,45
2024-01,199.69,47
2024-02,203.76,36
2024-03,210.55,28
2024-04,184.74,11
2024-05,199.69,12
2024-06,198.33,19
2024-07,195.61,8
2024-08,207.84,13
2024-09,196.97,20
2024-10,199.69,9
2024-11,192.9,9
2024-12,211.91,14
2025-01,210.55,26
2025-02,211.91,20
2025-03,213.27,16
2025-04,259.46,2
2025-05,209.2,7
2025-06,211.91,8
2025-07,202.4,20
2025-08,196.97,9
2025-09,222.78,13
2025-10,207.84,8
2025-11,237.72,13
2025-12,241.8,13
