year_month,mean_price,tx_count
2022-04,226.50,1
2022-05,227.85,1
2022-06,222.45,1
2022-07,198.19,1
2022-08,183.36,1
2022-09,188.75,1
2022-10,187.40,1
2022-11,184.70,1
2022-12,171.22,1
2023-01,180.66,1
2023-02,177.96,1
2023-03,146.95,1
2023-04,176.62,1
2023-05,159.09,1
2023-06,179.31,1
2023-07,182.01,1
2023-08,156.39,1
2023-09,138.87,1
2023-10,164.48,1
2023-11,142.91,1
2023-12,157.74,1
2024-01,155.04,1
2024-02,151.00,1
2024-03,177.96,1
2024-04,153.70,1
2024-05,157.74,1
2024-06,141.56,1
2024-07,151.00,1
2024-08,145.61,1
2024-09,156.39,1
2024-10,157.74,1
2024-11,156.39,1
2024-12,156.39,1
2025-01,156.39,1
2025-02,199.53,1
2025-03,148.30,1
2025-04,151.00,1
2025-05,133.47,1
2025-06,172.57,1
2025-07,125.38,1
2025-08,141.56,1
2025-09,125.38,1
2025-10,149.65,1
2025-11,132.12,1
2025-12,136.17,1
