year_month,mean_price,tx_count
2022-11,675.45,1
2022-12,582.43,1
2023-01,637.70,1
2023-02,672.76,1
2023-03,667.36,1
2023-04,636.35,1
2023-05,589.17,1
2023-06,543.33,1
2023-07,594.56,1
2023-08,637.70,1
2023-09,636.35,1
2023-10,636.35,1
2023-11,563.55,1
2023-12,477.27,1
2024-01,506.93,1
2024-02,535.24,1
2024-03,564.90,1
2024-04,485.36,1
2024-05,531.19,1
2024-06,577.03,1
2024-07,520.41,1
2024-08,461.09,1
2024-09,659.27,1
2024-10,405.81,1
2024-11,649.84,1
2024-12,589.17,1
2025-01,552.77,1
2025-02,567.60,1
2025-03,469.18,1
2025-04,388.28,1
2025-05,308.74,1
2025-06,438.17,1
2025-07,439.52,1
2025-08,450.30,1
2025-09,435.47,1
2025-10,481.31,1
2025-11,519.06,1
2025-12,556.81,1
