year_month,mean_price,tx_count
2022-06,443.56,1
2022-07,396.37,1
2022-08,338.40,1
2022-09,346.49,1
2022-10,355.93,1
2022-11,357.28,1
2022-12,316.83,1
2023-01,335.70,1
2023-02,318.18,1
2023-03,347.84,1
2023-04,343.79,1
2023-05,345.14,1
2023-06,355.93,1
2023-07,334.36,1
2023-08,312.78,1
2023-09,342.45,1
2023-10,293.91,1
2023-11,330.31,1
2023-12,299.30,1
2024-01,319.53,1
2024-02,354.58,1
2024-03,345.14,1
2024-04,349.19,1
2024-05,358.62,1
2024-06,304.70,1
2024-07,303.35,1
2024-08,357.28,1
2024-09,345.14,1
2024-10,338.40,1
2024-11,330.31,1
2024-12,341.10,1
2025-01,338.40,1
2025-02,322.22,1
2025-03,326.27,1
2025-04,306.04,1
2025-05,307.39,1
2025-06,443.56,1
2025-07,302.00,1
2025-08,327.61,1
2025-09,338.40,1
2025-10,347.84,1
2025-11,362.67,1
2025-12,351.88,1
