year_month,mean_price,tx_count
2022-01,209.47,1
2022-02,202.72,1
2022-03,213.53,1
2022-04,243.26,1
2022-05,212.18,1
2022-06,214.88,1
2022-07,198.66,1
2022-08,206.77,1
2022-09,231.10,1
2022-10,222.99,1
2022-11,224.34,1
2022-12,277.05,1
2023-01,254.07,1
2023-02,243.26,1
2023-03,263.53,1
2023-04,236.50,1
2023-05,262.18,1
2023-06,222.99,1
2023-07,250.02,1
2023-08,244.61,1
2023-09,239.21,1
2023-10,237.85,1
2023-11,262.18,1
2023-12,259.48,1
2024-01,260.83,1
2024-02,329.75,1
2024-03,254.07,1
2024-04,259.48,1
2024-05,295.97,1
2024-06,256.77,1
2024-07,268.94,1
2024-08,287.86,1
2024-09,264.88,1
2024-10,275.69,1
2024-11,258.13,1
2024-12,263.53,1
2025-01,271.64,1
2025-02,275.69,1
2025-03,275.69,1
2025-04,264.88,1
2025-05,278.40,1
2025-06,308.13,1
2025-07,300.02,1
2025-08,272.99,1
2025-09,258.13,1
2025-10,227.04,1
2025-11,275.69,1
2025-12,295.97,1
