year_month,mean_price,tx_count
2022-01,297.32,1
2022-02,300.02,1
2022-03,259.48,1
2022-04,177.04,1
2022-05,214.88,1
2022-06,239.21,1
2022-07,240.56,1
2022-08,251.37,1
2022-09,250.02,1
2022-10,260.83,1
2022-11,283.80,1
2022-12,302.72,1
2023-01,329.75,1
2023-02,270.29,1
2023-03,268.94,1
2023-04,250.02,1
2023-05,281.10,1
2023-06,270.29,1
2023-07,235.15,1
2023-08,245.96,1
2023-09,233.80,1
2023-10,272.99,1
2023-11,251.37,1
2023-12,295.97,1
2024-01,270.29,1
2024-02,255.42,1
2024-03,237.85,1
2024-04,258.13,1
2024-05,278.40,1
2024-06,210.82,1
2024-07,228.39,1
2024-08,235.15,1
2024-09,260.83,1
2024-10,243.26,1
2024-11,267.59,1
2024-12,277.05,1
2025-01,277.05,1
2025-02,256.77,1
2025-03,243.26,1
2025-04,229.75,1
2025-05,239.21,1
2025-06,229.75,1
2025-07,279.75,1
2025-08,248.67,1
2025-09,251.37,1
2025-10,245.96,1
2025-11,247.31,1
2025-12,285.15,1
