year_month,mean_price,tx_count
2022-01,122.26,21
2022-02,169.8,2
2022-03,122.26,1
2022-04,110.03,8
2022-05,112.75,9
2022-06,127.69,4
2022-07,116.82,6
2022-08,118.18,10
2022-09,130.41,10
2022-10,130.41,8
2022-11,124.97,10
2022-12,141.28,8
2023-01,134.48,10
2023-02,135.84,6
2023-03,141.28,3
2023-04,119.54,9
2023-05,134.48,1
2023-06,126.33,9
2023-07,129.05,6
2023-08,115.47,5
2023-09,127.69,11
2023-10,123.62,4
2023-11,122.26,7
2023-12,146.71,31
2024-01,135.84,13
2024-02,131.77,5
2024-03,142.63,18
2024-04,138.56,11
2024-05,161.65,7
2024-06,139.92,14
2024-07,152.14,11
2024-08,138.56,8
2024-09,141.28,16
2024-10,131.77,11
2024-11,145.35,15
2024-12,149.43,23
2025-01,141.28,13
2025-02,143.99,7
2025-03,153.5,15
2025-04,153.5,9
2025-05,152.14,12
2025-06,149.43,10
2025-07,146.71,18
2025-08,152.14,9
2025-09,148.07,9
2025-10,150.78,4
2025-11,153.5,14
2025-12,153.5,17
