year_month,mean_price,tx_count
2022-01,144.26,1
2022-02,138.87,1
2022-03,98.42,1
2022-04,124.04,1
2022-05,134.82,1
2022-06,115.95,1
2022-07,111.90,1
2022-08,138.87,1
2022-09,129.43,1
2022-10,130.78,1
2022-11,138.87,1
2022-12,130.78,1
2023-01,126.73,1
2023-02,133.47,1
2023-03,125.38,1
2023-04,133.47,1
2023-05,119.99,1
2023-06,184.70,1
2023-07,125.38,1
2023-08,141.56,1
2023-09,121.34,1
2023-10,114.60,1
2023-11,130.78,1
2023-12,136.17,1
2024-01,136.17,1
2024-02,134.82,1
2024-03,144.26,1
2024-04,126.73,1
2024-05,128.08,1
2024-06,146.95,1
2024-07,136.17,1
2024-08,111.90,1
2024-09,113.25,1
2024-10,132.12,1
2024-11,129.43,1
2024-12,129.43,1
2025-01,119.99,1
2025-02,113.25,1
2025-03,117.29,1
2025-04,122.69,1
2025-05,111.90,1
2025-06,126.73,1
2025-07,124.04,1
2025-08,128.08,1
2025-09,140.21,1
2025-10,119.99,1
2025-11,117.29,1
2025-12,124.04,1
