year_month,mean_price,tx_count
2022-01,173.92,1
2022-02,180.66,1
2022-03,168.53,1
2022-04,173.92,1
2022-05,151.00,1
2022-06,153.70,1
2022-07,151.00,1
2022-08,152.35,1
2022-09,169.87,1
2022-10,172.57,1
2022-11,180.66,1
2022-12,180.66,1
2023-01,192.79,1
2023-02,199.53,1
2023-03,194.14,1
2023-04,190.10,1
2023-05,160.44,1
2023-06,157.74,1
2023-07,169.87,1
2023-08,155.04,1
2023-09,173.92,1
2023-10,173.92,1
2023-11,173.92,1
2023-12,164.48,1
2024-01,167.18,1
2024-02,165.83,1
2024-03,168.53,1
2024-04,169.87,1
2024-05,171.22,1
2024-06,160.44,1
2024-07,188.75,1
2024-08,226.50,1
2024-09,191.45,1
2024-10,156.39,1
2024-11,169.87,1
2024-12,169.87,1
2025-01,202.23,1
2025-02,204.93,1
2025-03,210.32,1
2025-04,196.84,1
2025-05,192.79,1
2025-06,257.51,1
2025-07,206.28,1
2025-08,204.93,1
2025-09,198.19,1
2025-10,194.14,1
2025-11,200.88,1
2025-12,192.79,1
