year_month,mean_price,tx_count
2022-01,235.15,1
2022-02,240.56,1
2022-03,240.56,1
2022-04,239.21,1
2022-05,248.67,1
2022-06,294.61,1
2022-07,325.70,1
2022-08,367.59,1
2022-09,398.68,1
2022-10,401.38,1
2022-11,390.57,1
2022-12,382.46,1
2023-01,378.40,1
2023-02,410.84,1
2023-03,402.73,1
2023-04,373.00,1
2023-05,377.05,1
2023-06,360.84,1
2023-07,367.59,1
2023-08,345.97,1
2023-09,363.54,1
2023-10,362.19,1
2023-11,352.73,1
2023-12,375.70,1
2024-01,385.16,1
2024-02,387.86,1
2024-03,368.94,1
2024-04,351.37,1
2024-05,366.24,1
2024-06,347.32,1
2024-07,368.94,1
2024-08,355.43,1
2024-09,356.78,1
2024-10,340.56,1
2024-11,345.97,1
2024-12,355.43,1
2025-01,352.73,1
2025-02,383.81,1
2025-03,354.08,1
2025-04,351.37,1
2025-05,373.00,1
2025-06,368.94,1
2025-07,391.92,1
2025-08,387.86,1
2025-09,387.86,1
2025-10,395.97,1
2025-11,451.38,1
2025-12,586.53,1
