year_month,mean_price,tx_count
2022-01,347.32,1
2022-02,367.59,1
2022-03,391.92,1
2022-04,382.46,1
2022-05,393.27,1
2022-06,429.76,1
2022-07,431.11,1
2022-08,432.46,1
2022-09,406.78,1
2022-10,405.43,1
2022-11,387.86,1
2022-12,358.13,1
2023-01,393.27,1
2023-02,370.30,1
2023-03,400.03,1
2023-04,374.35,1
2023-05,405.43,1
2023-06,420.30,1
2023-07,379.76,1
2023-08,456.79,1
2023-09,460.84,1
2023-10,413.54,1
2023-11,401.38,1
2023-12,378.40,1
2024-01,429.76,1
2024-02,433.81,1
2024-03,395.97,1
2024-04,459.49,1
2024-05,356.78,1
2024-06,423.00,1
2024-07,381.11,1
2024-08,402.73,1
2024-09,400.03,1
2024-10,358.13,1
2024-11,366.24,1
2024-12,456.79,1
2025-01,318.94,1
2025-02,260.83,1
2025-03,468.95,1
2025-04,424.35,1
2025-05,418.95,1
2025-06,371.65,1
2025-07,317.59,1
2025-08,424.35,1
2025-09,345.97,1
2025-10,374.35,1
2025-11,398.68,1
2025-12,436.52,1
