asset_type,year_month,mean_price,score_ch1,score_ch2,score_ch3,score_ch4,score_ch5
cards,2022-01,299.764,34.44,0.114652,0.0033422,-1.18034,0.0785072
cards,2022-02,301.294,36.2,0.20760220000000001,0.011264600000000001,-0.9934799999999999,0.06342060000000001
cards,2022-03,294.656,36.62,0.047619,0.0022402,-1.0412,0.08479220000000001
cards,2022-04,309.14,41.4,0.2942726,0.021670000000000002,-0.74732,0.062612
cards,2022-05,286.73,39.8,0.18277179999999998,0.0107004,-0.73018,0.07040919999999999
cards,2022-06,261.152,34.6,0.08095240000000001,0.0025468,-0.14916000000000001,0.012812
cards,2022-07,258.7,36.44,0.2800938,0.007705799999999999,0.6174999999999999,0.030831600000000004
cards,2022-08,254.64600000000002,41.0,0.25918399999999997,0.0117454,0.5561999999999999,0.015171400000000002
cards,2022-09,283.312,44.04,0.095238,0.0027004,0.65784,0.037483
cards,2022-10,293.986,51.760000000000005,0.25478520000000004,0.015151000000000001,1.0766,0.007755200000000001
cards,2022-11,286.396,51.6,0.20427,0.0103242,0.80252,0.0050406
cards,2022-12,284.224,58.04,0.4674186000000001,0.024640799999999997,0.45252,0.0186284
cards,2023-01,279.072,58.67999999999999,0.224617,0.019724,0.94862,0.0134628
cards,2023-02,287.902,54.32000000000001,0.30553759999999996,0.0182328,0.47289999999999993,0.005672799999999999
cards,2023-03,295.86199999999997,50.44,0.1303258,0.0049054,0.9737199999999999,0.008637
cards,2023-04,303.404,43.519999999999996,0.2183236,0.0060568,0.78554,0.004369199999999999
cards,2023-05,299.588,42.72,0.1238096,0.0018193999999999999,0.44598000000000004,0.0464112
cards,2023-06,298.23400000000004,34.4,0.08148140000000001,0.0118274,-0.8638600000000001,0.0493336
cards,2023-07,302.406,34.88,0.24691359999999998,0.009502,0.10554000000000001,0.05271820000000001
cards,2023-08,280.884,28.68,0.0641976,0.0050004,0.030419999999999996,0.0451946
cards,2023-09,264.87,21.86,0.0925,0.0056068,-0.41828000000000004,0.0545354
cards,2023-10,249.94,31.52,0.2587912,0.0078768,0.29596,0.0143094
cards,2023-11,249.664,30.2,0.42252740000000005,0.017298,-1.10646,0.0059359999999999994
cards,2023-12,249.66,30.4,0.057499999999999996,0.0029378,-0.15388000000000002,0.030819399999999997
cards,2024-01,276.938,26.7,0.0,0.0,-2.10544,0.0201834
cards,2024-02,263.322,21.72,0.0,0.0,-0.06881999999999998,0.0435996
cards,2024-03,278.67199999999997,24.919999999999998,0.11358019999999999,0.0059484,-1.13178,0.052633799999999994
cards,2024-04,319.9,26.839999999999996,0.0,0.0,-1.7287,0.028953799999999995
cards,2024-05,372.96400000000006,34.6,0.0725,0.0016628,-0.86256,0.07621693333333333
cards,2024-06,355.168,28.439999999999998,0.0419754,0.002287,-0.97712,0.008271866666666666
cards,2024-07,344.448,31.060000000000002,0.0975,-0.0002016,-0.07295999999999998,0.0034806000000000004
cards,2024-08,319.334,27.26,0.0475,0.002165,-0.5101800000000001,0.0461008
