asset_type,model,n_features,features,auc,dm_stat,dm_p,vs_A,note
sneakers,A,9,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch1 + score_ch2 + score_ch3 + score_ch4 + score_ch5,0.8413,0.0,1.0,no diff,
sneakers,Baseline,4,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3,0.8366,0.026,0.979,no diff,
sneakers,Channels-only,5,score_ch1 + score_ch2 + score_ch3 + score_ch4 + score_ch5,0.5047,7.86,0.0,A better,
sneakers,CH1-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch1,0.8449,0.309,0.7574,no diff,
sneakers,CH2-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch2,0.8517,-0.053,0.9579,no diff,
sneakers,CH3-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch3,0.8517,-0.053,0.9579,no diff,
sneakers,CH4-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch4,0.8416,0.636,0.5256,no diff,
sneakers,CH5-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch5,0.8353,2.049,0.042,A better,
sneakers,A-dropGranger,6,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch2 + score_ch5,0.8472,0.105,0.9163,no diff,
cards,A,9,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch1 + score_ch2 + score_ch3 + score_ch4 + score_ch5,0.8587,0.0,1.0,no diff,
cards,Baseline,4,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3,0.8631,-0.828,0.4085,no diff,
cards,Channels-only,5,score_ch1 + score_ch2 + score_ch3 + score_ch4 + score_ch5,0.4736,7.026,0.0,A better,
cards,CH1-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch1,0.8612,-0.604,0.5466,no diff,
cards,CH2-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch2,0.8714,-1.975,0.0498,ablation better,
cards,CH3-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch3,0.8708,-2.157,0.0324,ablation better,
cards,CH4-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch4,0.8614,-0.98,0.3283,no diff,
cards,CH5-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch5,0.8689,-2.546,0.0117,ablation better,
cards,A-dropGranger,8,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch2 + score_ch3 + score_ch4 + score_ch5,0.8671,-2.887,0.0044,ablation better,
lego,A,9,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch1 + score_ch2 + score_ch3 + score_ch4 + score_ch5,0.9601,0.0,1.0,no diff,
lego,Baseline,4,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3,0.9628,-0.77,0.4421,no diff,
lego,Channels-only,5,score_ch1 + score_ch2 + score_ch3 + score_ch4 + score_ch5,0.5318,9.919,0.0,A better,
lego,CH1-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch1,0.9634,-1.692,0.0924,ablation better,
lego,CH2-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch2,0.9687,-2.885,0.0044,ablation better,
lego,CH3-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch3,0.965,-2.665,0.0084,ablation better,
lego,CH4-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch4,0.9635,-1.244,0.2153,no diff,
lego,CH5-only,5,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch5,0.9658,-2.605,0.01,ablation better,
lego,A-dropGranger,9,price_vs_ma3 + price_chg_lag1 + price_chg_lag2 + price_chg_lag3 + score_ch1 + score_ch2 + score_ch3 + score_ch4 + score_ch5,0.9601,0.0,1.0,no diff,Granger유의채널없음→A동일
