asset_type,channel,lag,N,W_bar,Z_bar,p_Z_bar,Z_tilde,p_Z_tilde,verdict,F_item1,F_item2,F_item3,F_item4,F_item5
sneakers,score_ch1,1,5,0.6387,-0.5713,0.716088,-0.5878,0.721658,NOT_SIGNIFICANT,2.609,0.006,0.361,0.211,0.006
sneakers,score_ch1,2,5,3.1436,1.2785,0.100531,1.0503,0.146787,NOT_SIGNIFICANT,4.875,2.927,6.094,0.073,1.749
sneakers,score_ch2,1,5,1.2998,0.4741,0.317716,0.3625,0.358471,NOT_SIGNIFICANT,1.187,0.043,2.654,2.358,0.256
sneakers,score_ch2,2,5,1.5087,-0.5493,0.708604,-0.5992,0.725481,NOT_SIGNIFICANT,1.138,0.278,3.702,2.093,0.332
sneakers,score_ch3,1,5,0.2454,-1.1932,0.883599,-1.1532,0.875576,NOT_SIGNIFICANT,0.497,0.018,0.209,0.246,0.256
sneakers,score_ch3,2,5,0.7275,-1.4227,0.922588,-1.3874,0.917337,NOT_SIGNIFICANT,2.037,0.352,0.498,0.419,0.332
sneakers,score_ch4,1,5,2.8516,2.9276,0.001708,2.593,0.004757,SIGNIFICANT,1.039,9.607,1.596,1.826,0.19
sneakers,score_ch4,2,5,2.637,0.7122,0.238158,0.5393,0.29485,NOT_SIGNIFICANT,2.364,7.03,0.695,1.943,1.153
sneakers,score_ch5,1,5,2.0571,1.6715,0.047312,1.4511,0.073377,MARGINAL,0.833,6.196,0.543,0.772,1.941
sneakers,score_ch5,2,5,1.8381,-0.181,0.57182,-0.2668,0.605201,NOT_SIGNIFICANT,0.79,5.007,0.49,1.123,1.781
cards,score_ch1,1,5,3.6542,4.1967,1.4e-05,3.7467,9e-05,SIGNIFICANT,3.549,1.952,1.986,7.983,2.801
cards,score_ch1,2,5,2.981,1.0968,0.136363,0.8863,0.187723,NOT_SIGNIFICANT,2.6,1.734,1.086,4.113,5.372
cards,score_ch2,1,5,2.3408,2.12,0.017001,1.8589,0.031523,SIGNIFICANT,0.268,9.032,0.038,1.464,0.903
cards,score_ch2,2,5,1.5012,-0.5577,0.711483,-0.6068,0.728006,NOT_SIGNIFICANT,0.933,4.499,0.462,0.904,0.707
cards,score_ch3,1,5,1.15,0.2372,0.406232,0.1472,0.441474,NOT_SIGNIFICANT,0.722,4.282,0.083,0.63,0.033
cards,score_ch3,2,5,0.9783,-1.1423,0.873336,-1.1343,0.871674,NOT_SIGNIFICANT,0.526,3.425,0.155,0.753,0.032
cards,score_ch4,1,5,0.2465,-1.1913,0.88324,-1.1515,0.875233,NOT_SIGNIFICANT,0.533,0.353,0.017,0.074,0.256
cards,score_ch4,2,5,0.5048,-1.6717,0.952704,-1.612,0.946524,NOT_SIGNIFICANT,0.104,0.134,0.747,0.999,0.54
cards,score_ch5,1,5,2.1164,1.7651,0.03877,1.5362,0.062242,MARGINAL,1.099,4.195,4.432,0.836,0.02
cards,score_ch5,2,5,1.7648,-0.263,0.603719,-0.3408,0.633377,NOT_SIGNIFICANT,1.692,1.872,4.001,1.155,0.105
lego,score_ch1,1,5,1.4442,0.7023,0.241246,0.57,0.284337,NOT_SIGNIFICANT,0.002,5.714,0.069,0.258,1.178
lego,score_ch1,2,5,0.9388,-1.1864,0.882274,-1.1742,0.879836,NOT_SIGNIFICANT,0.36,2.972,0.05,0.18,1.131
lego,score_ch2,1,5,1.0444,0.0703,0.47199,-0.0046,0.501822,NOT_SIGNIFICANT,0.232,3.741,0.817,0.186,0.245
lego,score_ch2,2,5,1.0611,-1.0498,0.853085,-1.0508,0.853331,NOT_SIGNIFICANT,0.743,3.225,0.129,0.135,1.074
lego,score_ch3,1,5,0.9618,-0.0604,0.524099,-0.1234,0.549103,NOT_SIGNIFICANT,0.053,4.412,0.34,0.001,0.004
lego,score_ch3,2,5,1.073,-1.0364,0.85,-1.0388,0.850551,NOT_SIGNIFICANT,1.493,1.938,0.103,1.801,0.031
lego,score_ch4,1,5,1.0376,0.0595,0.476279,-0.0144,0.505729,NOT_SIGNIFICANT,0.0,1.409,0.017,1.315,2.447
lego,score_ch4,2,5,0.5456,-1.6261,0.948037,-1.5709,0.941903,NOT_SIGNIFICANT,0.01,1.001,0.023,0.53,1.165
lego,score_ch5,1,5,0.7196,-0.4433,0.671234,-0.4715,0.681347,NOT_SIGNIFICANT,0.052,0.316,2.403,0.002,0.826
lego,score_ch5,2,5,0.7586,-1.388,0.917426,-1.356,0.912456,NOT_SIGNIFICANT,0.209,0.525,2.23,0.129,0.7
