asset_type,channel,dh_lag,dh_W_bar,dh_Z_tilde,dh_p,dh_verdict,avg_lag,avg_p,avg_verdict,agreement
sneakers,score_ch1,1,0.6387,-0.5878,0.721658,NOT_SIGNIFICANT,2,0.0407,MARGINAL,MARGINAL→NOT_SIGNIFICANT
sneakers,score_ch1,2,3.1436,1.0503,0.146787,NOT_SIGNIFICANT,2,0.0407,MARGINAL,MARGINAL→NOT_SIGNIFICANT
sneakers,score_ch2,1,1.2998,0.3625,0.358471,NOT_SIGNIFICANT,1,0.2197,NOT_SIGNIFICANT,SAME
sneakers,score_ch2,2,1.5087,-0.5992,0.725481,NOT_SIGNIFICANT,1,0.2197,NOT_SIGNIFICANT,SAME
sneakers,score_ch3,1,0.2454,-1.1532,0.875576,NOT_SIGNIFICANT,1,0.0007,SIGNIFICANT,SIGNIFICANT→NOT_SIGNIFICANT
sneakers,score_ch3,2,0.7275,-1.3874,0.917337,NOT_SIGNIFICANT,1,0.0007,SIGNIFICANT,SIGNIFICANT→NOT_SIGNIFICANT
sneakers,score_ch4,1,2.8516,2.593,0.004757,SIGNIFICANT,1,0.0352,SIGNIFICANT,SAME
sneakers,score_ch4,2,2.637,0.5393,0.29485,NOT_SIGNIFICANT,1,0.0352,SIGNIFICANT,SIGNIFICANT→NOT_SIGNIFICANT
sneakers,score_ch5,1,2.0571,1.4511,0.073377,MARGINAL,1,0.7639,NOT_SIGNIFICANT,NOT_SIGNIFICANT→MARGINAL
sneakers,score_ch5,2,1.8381,-0.2668,0.605201,NOT_SIGNIFICANT,1,0.7639,NOT_SIGNIFICANT,SAME
cards,score_ch1,1,3.6542,3.7467,9e-05,SIGNIFICANT,1,0.0058,SIGNIFICANT,SAME
cards,score_ch1,2,2.981,0.8863,0.187723,NOT_SIGNIFICANT,1,0.0058,SIGNIFICANT,SIGNIFICANT→NOT_SIGNIFICANT
cards,score_ch2,1,2.3408,1.8589,0.031523,SIGNIFICANT,1,0.3984,NOT_SIGNIFICANT,NOT_SIGNIFICANT→SIGNIFICANT
cards,score_ch2,2,1.5012,-0.6068,0.728006,NOT_SIGNIFICANT,1,0.3984,NOT_SIGNIFICANT,SAME
cards,score_ch3,1,1.15,0.1472,0.441474,NOT_SIGNIFICANT,1,0.2418,NOT_SIGNIFICANT,SAME
cards,score_ch3,2,0.9783,-1.1343,0.871674,NOT_SIGNIFICANT,1,0.2418,NOT_SIGNIFICANT,SAME
cards,score_ch4,1,0.2465,-1.1515,0.875233,NOT_SIGNIFICANT,1,0.622,NOT_SIGNIFICANT,SAME
cards,score_ch4,2,0.5048,-1.612,0.946524,NOT_SIGNIFICANT,1,0.622,NOT_SIGNIFICANT,SAME
cards,score_ch5,1,2.1164,1.5362,0.062242,MARGINAL,1,0.4375,NOT_SIGNIFICANT,NOT_SIGNIFICANT→MARGINAL
cards,score_ch5,2,1.7648,-0.3408,0.633377,NOT_SIGNIFICANT,1,0.4375,NOT_SIGNIFICANT,SAME
lego,score_ch1,1,1.4442,0.57,0.284337,NOT_SIGNIFICANT,1,0.0541,MARGINAL,MARGINAL→NOT_SIGNIFICANT
lego,score_ch1,2,0.9388,-1.1742,0.879836,NOT_SIGNIFICANT,1,0.0541,MARGINAL,MARGINAL→NOT_SIGNIFICANT
lego,score_ch2,1,1.0444,-0.0046,0.501822,NOT_SIGNIFICANT,1,0.5757,NOT_SIGNIFICANT,SAME
lego,score_ch2,2,1.0611,-1.0508,0.853331,NOT_SIGNIFICANT,1,0.5757,NOT_SIGNIFICANT,SAME
lego,score_ch3,1,0.9618,-0.1234,0.549103,NOT_SIGNIFICANT,1,0.5297,NOT_SIGNIFICANT,SAME
lego,score_ch3,2,1.073,-1.0388,0.850551,NOT_SIGNIFICANT,1,0.5297,NOT_SIGNIFICANT,SAME
lego,score_ch4,1,1.0376,-0.0144,0.505729,NOT_SIGNIFICANT,1,0.1829,NOT_SIGNIFICANT,SAME
lego,score_ch4,2,0.5456,-1.5709,0.941903,NOT_SIGNIFICANT,1,0.1829,NOT_SIGNIFICANT,SAME
lego,score_ch5,1,0.7196,-0.4715,0.681347,NOT_SIGNIFICANT,1,0.6797,NOT_SIGNIFICANT,SAME
lego,score_ch5,2,0.7586,-1.356,0.912456,NOT_SIGNIFICANT,1,0.6797,NOT_SIGNIFICANT,SAME
