asset_type,channel,F_lag1,p_lag1,F_lag2,p_lag2,F_lag3,p_lag3,sig_lags,consistent
sneakers,score_ch1,0.5,0.4834,3.473,0.0407,2.3,0.0933,[2],False
sneakers,score_ch2,1.551,0.2197,0.934,0.4014,0.796,0.5041,-,False
sneakers,score_ch3,13.384,0.0007,7.018,0.0024,6.652,0.001,"[1, 2, 3]",True
sneakers,score_ch4,4.729,0.0352,2.792,0.0733,1.448,0.2445,[1],False
sneakers,score_ch5,0.091,0.7639,4.579,0.0162,4.47,0.0089,"[2, 3]",True
cards,score_ch1,8.417,0.0058,4.562,0.0164,2.442,0.0795,"[1, 2]",True
cards,score_ch2,0.728,0.3984,1.967,0.1532,3.134,0.0369,[3],False
cards,score_ch3,1.409,0.2418,1.915,0.1606,1.055,0.3798,-,False
cards,score_ch4,0.247,0.622,0.646,0.5295,2.99,0.0433,[3],False
cards,score_ch5,0.614,0.4375,0.539,0.5877,1.813,0.1616,-,False
lego,score_ch1,3.922,0.0541,1.239,0.3005,2.035,0.1257,-,False
lego,score_ch2,0.318,0.5757,0.166,0.8475,0.328,0.8048,-,False
lego,score_ch3,0.401,0.5297,0.044,0.9575,0.093,0.9632,-,False
lego,score_ch4,1.833,0.1829,0.221,0.803,0.695,0.5609,-,False
lego,score_ch5,0.173,0.6797,0.779,0.4656,0.933,0.4343,-,False
