asset_type,model,feature,mean_abs_shap
sneakers,Model A,price_vs_ma3,2.933057
sneakers,Model A,price_chg_lag1,0.97289
sneakers,Model A,price_chg_lag2,0.011325
sneakers,Model A,price_chg_lag3,0.061261
sneakers,Model A,score_ch1,0.125098
sneakers,Model A,score_ch2,0.0
sneakers,Model A,score_ch3,0.011243
sneakers,Model A,score_ch4,0.080173
sneakers,Model A,score_ch5,0.123697
sneakers,Model B,price_vs_ma3,2.9835
sneakers,Model B,price_chg_lag1,0.97492
sneakers,Model B,price_chg_lag2,0.006258
sneakers,Model B,price_chg_lag3,0.118521
sneakers,Model B,score_ch3,0.011243
sneakers,Model B,score_ch4,0.11171
cards,Model A,price_vs_ma3,2.84809
cards,Model A,price_chg_lag1,1.119768
cards,Model A,price_chg_lag2,0.026909
cards,Model A,price_chg_lag3,0.006551
cards,Model A,score_ch1,0.048313
cards,Model A,score_ch2,0.030864
cards,Model A,score_ch3,0.024668
cards,Model A,score_ch4,0.091255
cards,Model A,score_ch5,0.003635
cards,Model B,price_vs_ma3,2.879787
cards,Model B,price_chg_lag1,1.143259
cards,Model B,price_chg_lag2,0.036291
cards,Model B,price_chg_lag3,0.016496
cards,Model B,score_ch1,0.048709
lego,Model A,price_vs_ma3,2.676072
lego,Model A,price_chg_lag1,1.273883
lego,Model A,price_chg_lag2,0.114474
lego,Model A,price_chg_lag3,0.071519
lego,Model A,score_ch1,0.03587
lego,Model A,score_ch2,0.002711
lego,Model A,score_ch3,0.0
lego,Model A,score_ch4,0.069989
lego,Model A,score_ch5,0.02128
lego,Model B,price_vs_ma3,2.71148
lego,Model B,price_chg_lag1,1.276352
lego,Model B,price_chg_lag2,0.104927
lego,Model B,price_chg_lag3,0.09068
lego,Model B,score_ch1,0.02653
