asset_type,channel,single_p,single_verdict,dh_p,dh_verdict,var_p,var_verdict
sneakers,score_ch1,0.0407,MARGINAL,0.721658,NOT_SIGNIFICANT,0.215742,NS
sneakers,score_ch2,0.2197,NOT_SIGNIFICANT,0.358471,NOT_SIGNIFICANT,0.713346,NS
sneakers,score_ch3,0.0007,SIGNIFICANT,0.875576,NOT_SIGNIFICANT,0.000594,SIG
sneakers,score_ch4,0.0352,SIGNIFICANT,0.004757,SIGNIFICANT,0.089376,MARG
sneakers,score_ch5,0.7639,NOT_SIGNIFICANT,0.073377,MARGINAL,0.218785,NS
cards,score_ch1,0.0058,SIGNIFICANT,9e-05,SIGNIFICANT,5.7e-05,SIG
cards,score_ch2,0.3984,NOT_SIGNIFICANT,0.031523,SIGNIFICANT,0.100763,NS
cards,score_ch3,0.2418,NOT_SIGNIFICANT,0.441474,NOT_SIGNIFICANT,0.239212,NS
cards,score_ch4,0.622,NOT_SIGNIFICANT,0.875233,NOT_SIGNIFICANT,0.139947,NS
cards,score_ch5,0.4375,NOT_SIGNIFICANT,0.062242,MARGINAL,0.080703,MARG
lego,score_ch1,0.0541,MARGINAL,0.284337,NOT_SIGNIFICANT,0.037741,SIG
lego,score_ch2,0.5757,NOT_SIGNIFICANT,0.501822,NOT_SIGNIFICANT,0.23538,NS
lego,score_ch3,0.5297,NOT_SIGNIFICANT,0.549103,NOT_SIGNIFICANT,0.703243,NS
lego,score_ch4,0.1829,NOT_SIGNIFICANT,0.505729,NOT_SIGNIFICANT,0.123659,NS
lego,score_ch5,0.6797,NOT_SIGNIFICANT,0.681347,NOT_SIGNIFICANT,0.713791,NS
